# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-10-14 11:43:18 76307464 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
    94     0.094000  0.009020277  0.000097747  0.946929244  0.321442074  0.000000000000000000 -31.681353377  31.681353377  31.681353377  0.000000511379312    97.736077 31.681353377180947 
    95     0.095000  0.009118023  0.000097786  0.946909760  0.321499466  0.000000000000000000 -31.682005266  31.682005266  31.682005266  0.000000511836033    97.648842 31.682005265643561 
    96     0.096000  0.009215809  0.000097824  0.946890258  0.321556900 -0.000000000000056843 -31.682657789  31.682657789  31.682657789  0.000000512293414    97.561637 31.682657788738062 
    97     0.097000  0.009313633  0.000097863  0.946870737  0.321614376  0.000000000000056843 -31.683310947  31.683310947  31.683310947  0.000000512751459    97.474461 31.683310947441591 
    98     0.098000  0.009411496  0.000097902  0.946851199  0.321671894  0.000000000000000000 -31.683964743  31.683964743  31.683964743  0.000000513210169    97.387314 31.683964742733135 
    99     0.099000  0.009509398  0.000097941  0.946831642  0.321729454  0.000000000000000000 -31.684619176  31.684619176  31.684619176  0.000000513669544    97.300197 31.684619175593909 
   100     0.100000  0.009607339  0.000097980  0.946812067  0.321787057 -0.000000000000056843 -31.685274247  31.685274247  31.685274247  0.000000514129585    97.213110 31.685274247007058 
   101     0.101000  0.009705319  0.000098019  0.946792473  0.321844702  0.000000000000000000 -31.685929958  31.685929958  31.685929958  0.000000514590295    97.126052 31.685929957957871 
   102     0.102000  0.009803337  0.000098058  0.946772862  0.321902389  0.000000000000000000 -31.686586309  31.686586309  31.686586309  0.000000515051675    97.039024 31.686586309433597 
   103     0.103000  0.009901395  0.000098097  0.946753232  0.321960119  0.000000000000056843 -31.687243302  31.687243302  31.687243302  0.000000515513725    96.952025 31.687243302423617 
   104     0.104000  0.009999491  0.000098136  0.946733583  0.322017891  0.000000000000056843 -31.687900938  31.687900938  31.687900938  0.000000515976447    96.865056 31.687900937919327 
   105     0.105000  0.010097627  0.000098175  0.946713916  0.322075706  0.000000000000000000 -31.688559217  31.688559217  31.688559217  0.000000516439843    96.778116 31.688559216914225 
   106     0.106000  0.010195802  0.000098214  0.946694231  0.322133564  0.000000000000000000 -31.689218140  31.689218140  31.689218140  0.000000516903913    96.691207 31.689218140403923 
   107     0.107000  0.010294016  0.000098253  0.946674527  0.322191464  0.000000000000000000 -31.689877709  31.689877709  31.689877709  0.000000517368660    96.604326 31.689877709386060 
   108     0.108000  0.010392269  0.000098292  0.946654805  0.322249407  0.000000000000000000 -31.690537925  31.690537925  31.690537925  0.000000517834084    96.517476 31.690537924860390 
   109     0.109000  0.010490561  0.000098332  0.946635064  0.322307392  0.000000000000000000 -31.691198788  31.691198788  31.691198788  0.000000518300186    96.430655 31.691198787828753 
   110     0.110000  0.010588893  0.000098371  0.946615305  0.322365421  0.000000000000000000 -31.691860299  31.691860299  31.691860299  0.000000518766969    96.343864 31.691860299295108 
   111     0.111000  0.010687264  0.000098410  0.946595527  0.322423492  0.000000000000000000 -31.692522460  31.692522460  31.692522460  0.000000519234433    96.257103 31.692522460265501 
   112     0.112000  0.010785674  0.000098450  0.946575730  0.322481606  0.000000000000000000 -31.693185272  31.693185272  31.693185272  0.000000519702580    96.170371 31.693185271748082 
   113     0.113000  0.010884123  0.000098489  0.946555915  0.322539764  0.000000000000000000 -31.693848735  31.693848735  31.693848735  0.000000520171411    96.083669 31.693848734753150 
   114     0.114000  0.010982612  0.000098528  0.946536082  0.322597964  0.000000000000000000 -31.694512850  31.694512850  31.694512850  0.000000520640927    95.996997 31.694512850293108 
   115     0.115000  0.011081141  0.000098568  0.946516229  0.322656207  0.000000000000000000 -31.695177619  31.695177619  31.695177619  0.000000521111130    95.910354 31.695177619382473 
   116     0.116000  0.011179708  0.000098607  0.946496358  0.322714494  0.000000000000000000 -31.695843043  31.695843043  31.695843043  0.000000521582021    95.823741 31.695843043037929 
   117     0.117000  0.011278316  0.000098647  0.946476468  0.322772824  0.000000000000000000 -31.696509122  31.696509122  31.696509122  0.000000522053602    95.737158 31.696509122278268 
   118     0.118000  0.011376963  0.000098686  0.946456559  0.322831197 -0.000000000000056843 -31.697175858  31.697175858  31.697175858  0.000000522525873    95.650605 31.697175858124428 
   119     0.119000  0.011475649  0.000098726  0.946436632  0.322889613  0.000000000000000000 -31.697843252  31.697843252  31.697843252  0.000000522998836    95.564082 31.697843251599561 
   120     0.120000  0.011574375  0.000098766  0.946416685  0.322948073  0.000000000000000000 -31.698511304  31.698511304  31.698511304  0.000000523472494    95.477589 31.698511303728871 
   121     0.121000  0.011673141  0.000098805  0.946396720  0.323006576  0.000000000000056843 -31.699180016  31.699180016  31.699180016  0.000000523946845    95.391125 31.699180015539817 
   122     0.122000  0.011771946  0.000098845  0.946376736  0.323065122  0.000000000000056843 -31.699849388  31.699849388  31.699849388  0.000000524421894    95.304691 31.699849388061949 
   123     0.123000  0.011870791  0.000098885  0.946356733  0.323123713  0.000000000000000000 -31.700519422  31.700519422  31.700519422  0.000000524897640    95.218287 31.700519422327027 
   124     0.124000  0.011969676  0.000098925  0.946336711  0.323182346  0.000000000000000000 -31.701190119  31.701190119  31.701190119  0.000000525374084    95.131913 31.701190119369027 
   125     0.125000  0.012068601  0.000098964  0.946316670  0.323241024  0.000000000000000000 -31.701861480  31.701861480  31.701861480  0.000000525851229    95.045569 31.701861480224061 
   126     0.126000  0.012167565  0.000099004  0.946296610  0.323299745  0.000000000000000000 -31.702533506  31.702533506  31.702533506  0.000000526329077    94.959255 31.702533505930436 
   127     0.127000  0.012266569  0.000099044  0.946276532  0.323358510 -0.000000000000056843 -31.703206198  31.703206198  31.703206198  0.000000526807627    94.872970 31.703206197528655 
   128     0.128000  0.012365614  0.000099084  0.946256434  0.323417318  0.000000000000056843 -31.703879556  31.703879556  31.703879556  0.000000527286882    94.786716 31.703879556061494 
   129     0.129000  0.012464698  0.000099124  0.946236317  0.323476171 -0.000000000000056843 -31.704553583  31.704553583  31.704553583  0.000000527766842    94.700492 31.704553582573762 
   130     0.130000  0.012563822  0.000099164  0.946216180  0.323535068  0.000000000000000000 -31.705228278  31.705228278  31.705228278  0.000000528247510    94.614297 31.705228278112717 
   131     0.131000  0.012662986  0.000099204  0.946196025  0.323594008  0.000000000000000000 -31.705903644  31.705903644  31.705903644  0.000000528728887    94.528133 31.705903643727645 
   132     0.132000  0.012762191  0.000099244  0.946175851  0.323652993  0.000000000000000000 -31.706579680  31.706579680  31.706579680  0.000000529210974    94.441998 31.706579680470142 
   133     0.133000  0.012861435  0.000099285  0.946155657  0.323712021  0.000000000000000000 -31.707256389  31.707256389  31.707256389  0.000000529693772    94.355894 31.707256389394036 
   134     0.134000  0.012960720  0.000099325  0.946135444  0.323771094  0.000000000000000000 -31.707933772  31.707933772  31.707933772  0.000000530177284    94.269819 31.707933771555364 
   135     0.135000  0.013060045  0.000099365  0.946115212  0.323830211  0.000000000000056843 -31.708611828  31.708611828  31.708611828  0.000000530661510    94.183775 31.708611828012444 
   136     0.136000  0.013159410  0.000099405  0.946094961  0.323889373  0.000000000000056843 -31.709290560  31.709290560  31.709290560  0.000000531146451    94.097761 31.709290559825789 
   137     0.137000  0.013258815  0.000099446  0.946074690  0.323948578  0.000000000000000000 -31.709969968  31.709969968  31.709969968  0.000000531632110    94.011776 31.709969968058193 
   138     0.138000  0.013358260  0.000099486  0.946054400  0.324007828  0.000000000000000000 -31.710650054  31.710650054  31.710650054  0.000000532118487    93.925822 31.710650053774764 
   139     0.139000  0.013457746  0.000099526  0.946034090  0.324067123  0.000000000000000000 -31.711330818  31.711330818  31.711330818  0.000000532605585    93.839898 31.711330818042804 
   140     0.140000  0.013557272  0.000099567  0.946013761  0.324126462  0.000000000000000000 -31.712012262  31.712012262  31.712012262  0.000000533093403    93.754004 31.712012261931918 
   141     0.141000  0.013656839  0.000099607  0.945993413  0.324185846  0.000000000000000000 -31.712694387  31.712694387  31.712694387  0.000000533581946    93.668140 31.712694386513995 
   142     0.142000  0.013756446  0.000099648  0.945973045  0.324245274 -0.000000000000056843 -31.713377193  31.713377193  31.713377193  0.000000534071212    93.582306 31.713377192863177 
   143     0.143000  0.013856094  0.000099688  0.945952658  0.324304747  0.000000000000000000 -31.714060682  31.714060682  31.714060682  0.000000534561204    93.496503 31.714060682055976 
   144     0.144000  0.013955782  0.000099729  0.945932251  0.324364264  0.000000000000000000 -31.714744855  31.714744855  31.714744855  0.000000535051923    93.410729 31.714744855171105 
   145     0.145000  0.014055511  0.000099769  0.945911825  0.324423827  0.000000000000000000 -31.715429713  31.715429713  31.715429713  0.000000535543371    93.324986 31.715429713289641 
   146     0.146000  0.014155280  0.000099810  0.945891379  0.324483434  0.000000000000000000 -31.716115257  31.716115257  31.716115257  0.000000536035550    93.239273 31.716115257494952 
   147     0.147000  0.014255090  0.000099851  0.945870914  0.324543086  0.000000000000056843 -31.716801489  31.716801489  31.716801489  0.000000536528459    93.153590 31.716801488872747 
   148     0.148000  0.014354941  0.000099891  0.945850428  0.324602783  0.000000000000000000 -31.717488409  31.717488409  31.717488409  0.000000537022102    93.067937 31.717488408510977 
   149     0.149000  0.014454832  0.000099932  0.945829924  0.324662526 -0.000000000000056843 -31.718176018  31.718176018  31.718176018  0.000000537516480    92.982315 31.718176017500028 
   150     0.150000  0.014554764  0.000099973  0.945809399  0.324722313  0.000000000000000000 -31.718864317  31.718864317  31.718864317  0.000000538011593    92.896722 31.718864316932592 
   151     0.151000  0.014654737  0.000100014  0.945788855  0.324782145  0.000000000000056843 -31.719553308  31.719553308  31.719553308  0.000000538507444    92.811160 31.719553307903666 
   152     0.152000  0.014754751  0.000100055  0.945768291  0.324842023 -0.000000000000056843 -31.720242992  31.720242992  31.720242992  0.000000539004033    92.725629 31.720242991510553 
